stats_player_id,player_name,player_name_short,team_name,match_status
3vhgxn1d0wxfpm29q78bx6mtw,Hassan Sani Muhammed,Hassan,Al Ain FC,confirmed
7v3fyeizxhilowcuvenyqce6t,Rayan Yaslam,Rayan Yaslam Mohammed Aboudan,Al Dhafra FC,confirmed
ac39gnymh5uhztk08wegursb8,Yassine Jabri,Yassine,Ajman Club,confirmed
bxkyvyrtfcf0wmyy19km85tsk,Mayed Al Teneiji,Mayed Ali Abdulrahman Al Mahmoodi,Dibba FC,confirmed
c4hykoyjv9o3b5p94ury6s4yc,Ruan Santos,Ruan Matheus,Al Bataeh Club,confirmed
bxki3bebmt7i4jioya3wngwrt,Hasan Al Muharrami,Hasan Mohamed Hasan Ali,Bani Yas Club,confirmed
88hqy3ztjmtahcv0sz6rduv6y,Serdar SaatÃ§Ä±,Serdar,Al Nasr SC,confirmed
6k08b81barjg5knx01lprtst0,Richard Akonnor,Richard,Al Jazira Club,confirmed
29o4n2tkeq57t4tm9s56qh89g,Hassan Awad,Hassan Awad,Al Bataeh Club,confirmed
esg8dkc6x3ivrko7dowy4elm1,Khalid Mubarak,Khalid Abdulla,Dibba FC,confirmed
a88vorire1m2ajjhovh2dr42y,Humood Mohammad Mubarak,Humood Mohammad Ibrahim,Al Bataeh Club,confirmed
70g0oe35pzykfpyfbn3sc30q2,Rashid Abdalla,Rashid Abdalla,Khorfakkan Club,confirmed
e81dndceufugl8tppq80wlv55,Mohammad Juma,Mohammad Juma Eid Gharib Juma,Al Bataeh Club,confirmed
zlpjwut8riz8atsitulebsb8,Leonard Offoe Amesimeku,Leonard,Al Dhafra FC,confirmed
41ywbas2bus42866gct2tivpw,Caio Eduardo,Caio Eduardo,Al Ittihad Kalba,confirmed
azzw8e61pnot2j59iopnugh5h,Rashed Musabbah,Rashed Mohammad Omar Mohammad,Dibba FC,confirmed
6xryx29xavnae4hpr06ot8amt,Majid Surour,Majid Ibrahim Surour,Sharjah FC,confirmed
9g4devlvymukexrvfgkipd6tx,Renato Fabrizio Tapia Cortijo,Renato,Al Wasl Club,confirmed
2kw9h3cxj5r7hxznzba3c81nu,Abdulla Abbas Al Balooshi,Abdulla Abbas Ibrahim Salem,Ajman Club,confirmed
6sgm25zg676kuei7bdrwbn8b9,Mohamed Al Shamsi,Mohamed Hasan Khalifa,Al Wahda FC,confirmed
6bkjx2hq71xbo2j90q05hvlqt,Khalid Al Darmaki,Khalid Ali Khamis Obaid,Al Ittihad Kalba,confirmed
egled594nhttfvqwylkga1785,Salem Rashid,Salem Rashid,Al Ittihad Kalba,confirmed
6cd06ujav38egt206pwc55as,Ahmed Raed,Ahmed,Al Nasr SC,confirmed
23vzjo96s5efnuopdqdcbnod0,Felipe Motta,Felipe,Al Nasr SC,confirmed
3rgwpzocnti6uodhhmtlpk2dw,Kauan Santos,Kauan,Shabab Al Ahli Club,confirmed
a6znad6tnp2fu1l27cjq6tfmy,Juninho,Antonio Valmor,Al Bataeh Club,confirmed
